pos.lat,pos.lng,img,type
alumni
40.60693358669163,-75.38034788554086,alumni_entrance,entrance
bib
40.60867023631125, -75.37544821731414,bib_entrance_n,entrance
40.60856921148748, -75.37485615908878,bib_entrance_s,entrance
chapel
40.607642788497834, -75.37778704136382,church_entrance,entrance
coppee
40.605989267728674, -75.37688290753493,co_entrance,entrance
chandler
40.607486980390966, -75.37596290986548,cu_entrance_e,entrance
40.60748392594676, -75.37605008166042,cu_lift,wheelchair lift
40.60752363371264, -75.37653422037388,cu_entrance_n,entrance
40.60758879512444, -75.3766522375722,cu_parking,parking
40.60733323985233, -75.37606751602355,cu_shower,shower
coxe
40.60597548858824, -75.37582118124008,cx_entrance_s,entrance
FML
40.60865676634765, -75.37790405045837,dms_entrance,entrance
40.60908102440396, -75.37844801205908,fml_comp_entrance,entrance
40.60909686269164, -75.37826498937461,fml_entrance_n,entrance
40.6087325811213, -75.37789420247258,fml_entrance_s,entrance
40.60909830253577, -75.3782005046919,fml_lift,lift
40.6089747732286, -75.37812887319683,fml_entrance_main,entrance
drown
40.6056396603061, -75.37724605974064,dr_entryway_s,entryway
40.60580664100117, -75.37725947078535,dr_entrance_n,NOT_entrance
40.60559995142087, -75.37724002477053,dr_entrance_s,NOT_entrance
dravo
40.60449059458189, -75.37494770297738,dravo_NOT_entrance_s,NOT_entrance
40.60467512037845, -75.37471148883729,dravo_NOT_entrance_se,NOT_entrance
40.60488410078953, -75.37464901897792,dravo_parking,parking
drinker
40.604755155507796, -75.37570222171348,drink_NOT_entrance_ne,NOT_entrance
40.60450541595063, -75.37552847743265,drink_NOT_entrance_s,NOT_entrance
40.60439203240098, -75.37544160528796,drink_parking,parking
40.60462620997721, -75.37551774042335,drink_sign,sing
fritz
40.60811706700348, -75.376446084805,fr_bay_door_nw,bay_door
40.607917893800014, -75.37642694659361,fr_bay_door_sw,bay_door
40.60813886099491, -75.37602982868377,fr_entrance_e,entrance
40.608135834051964, -75.37606730768174,fr_entryway_e,entryway
40.60798574855284, -75.37643573562849,fr_entrance_w,entrance
40.60809723484432, -75.37598713616634,fr_parking_e,parking
40.6079852938551, -75.37645844154535,fr_parking_w,parking
wilbur
40.60809723484432, -75.37598713616634,fr_parking_e,parking

grace
40.60625570376901, -75.3749464249936,gr_entrance_nw,entrance
40.60617794883207, -75.3744277026616,gr_entrance_s,entrance
40.606066355942296, -75.37456994827129,gr_entrance_sw,entrance
40.60611747270847, -75.37481271411183,gr_entrance_w,entrance
40.6062686629169, -75.37500427154234,gr_parking_n,parking
40.60620818687279, -75.37425226640653,gr_parking_s,parking
